round,module,function,dimensions,query,x1,x2,x3,x4,x5,x6,x7,x8
3,14,F4,4,0.500000-0.400000-0.480000-0.260000,0.5,0.4,0.48,0.26,,,,
3,14,F5,4,0.220000-0.835000-0.885000-0.885000,0.22,0.835,0.885,0.885,,,,
3,14,F6,5,0.745000-0.275000-0.635000-0.655000-0.135000,0.745,0.275,0.635,0.655,0.135,,,
3,14,F7,6,0.065000-0.515000-0.245000-0.175000-0.398000-0.695000,0.065,0.515,0.245,0.175,0.398,0.695,,
3,14,F8,8,0.025000-0.025000-0.025000-0.035000-0.305000-0.805000-0.455000-0.945000,0.025,0.025,0.025,0.035,0.305,0.805,0.455,0.945
4,15,F1,2,0.640000-0.710000,0.64,0.71,,,,,,
4,15,F2,2,0.735000-0.760000,0.735,0.76,,,,,,
4,15,F3,3,0.600000-0.460000-0.390000,0.6,0.46,0.39,,,,,
4,15,F4,4,0.490000-0.390000-0.470000-0.250000,0.49,0.39,0.47,0.25,,,,
4,15,F5,4,0.225000-0.840000-0.890000-0.890000,0.225,0.84,0.89,0.89,,,,
4,15,F6,5,0.735000-0.285000-0.645000-0.645000-0.145000,0.735,0.285,0.645,0.645,0.145,,,
4,15,F7,6,0.068000-0.518000-0.248000-0.178000-0.399000-0.698000,0.068,0.518,0.248,0.178,0.399,0.698,,
4,15,F8,8,0.028000-0.028000-0.028000-0.038000-0.308000-0.808000-0.458000-0.948000,0.028,0.028,0.028,0.038,0.308,0.808,0.458,0.948
5,16,F1,2,0.660000-0.690000,0.66,0.69,,,,,,
5,16,F2,2,0.745000-0.745000,0.745,0.745,,,,,,
5,16,F3,3,0.595000-0.475000-0.375000,0.595,0.475,0.375,,,,,
5,16,F4,4,0.505000-0.410000-0.485000-0.270000,0.505,0.41,0.485,0.27,,,,
5,16,F5,4,0.228000-0.845000-0.892000-0.892000,0.228,0.845,0.892,0.892,,,,
5,16,F6,5,0.730000-0.290000-0.650000-0.640000-0.150000,0.73,0.29,0.65,0.64,0.15,,,
5,16,F7,6,0.069000-0.520000-0.250000-0.180000-0.400000-0.700000,0.069,0.52,0.25,0.18,0.4,0.7,,
5,16,F8,8,0.030000-0.030000-0.030000-0.040000-0.310000-0.810000-0.460000-0.950000,0.03,0.03,0.03,0.04,0.31,0.81,0.46,0.95
6,17,F1,2,0.670000-0.700000,0.67,0.7,,,,,,
6,17,F2,2,0.740000-0.755000,0.74,0.755,,,,,,
6,17,F3,3,0.600000-0.470000-0.380000,0.6,0.47,0.38,,,,,
6,17,F4,4,0.510000-0.420000-0.490000-0.280000,0.51,0.42,0.49,0.28,,,,
6,17,F5,4,0.230000-0.848000-0.894000-0.894000,0.23,0.848,0.894,0.894,,,,
6,17,F6,5,0.735000-0.285000-0.645000-0.645000-0.145000,0.735,0.285,0.645,0.645,0.145,,,
6,17,F7,6,0.070000-0.522000-0.252000-0.182000-0.402000-0.702000,0.07,0.522,0.252,0.182,0.402,0.702,,
6,17,F8,8,0.032000-0.032000-0.032000-0.042000-0.312000-0.812000-0.462000-0.952000,0.032,0.032,0.032,0.042,0.312,0.812,0.462,0.952
7,18,F1,2,0.680000-0.710000,0.68,0.71,,,,,,
7,18,F2,2,0.742000-0.752000,0.742,0.752,,,,,,
7,18,F3,3,0.598000-0.472000-0.382000,0.598,0.472,0.382,,,,,
7,18,F4,4,0.515000-0.425000-0.495000-0.285000,0.515,0.425,0.495,0.285,,,,
7,18,F5,4,0.232000-0.850000-0.896000-0.896000,0.232,0.85,0.896,0.896,,,,
7,18,F6,5,0.730000-0.290000-0.650000-0.640000-0.150000,0.73,0.29,0.65,0.64,0.15,,,
7,18,F7,6,0.075000-0.525000-0.255000-0.185000-0.405000-0.705000,0.075,0.525,0.255,0.185,0.405,0.705,,
7,18,F8,8,0.034000-0.034000-0.034000-0.044000-0.314000-0.814000-0.464000-0.954000,0.034,0.034,0.034,0.044,0.314,0.814,0.464,0.954
8,19,F1,2,0.685000-0.715000,0.685,0.715,,,,,,
8,19,F2,2,0.738000-0.748000,0.738,0.748,,,,,,
8,19,F3,3,0.600000-0.474000-0.384000,0.6,0.474,0.384,,,,,
8,19,F4,4,0.518000-0.428000-0.498000-0.288000,0.518,0.428,0.498,0.288,,,,
8,19,F5,4,0.234000-0.852000-0.897000-0.897000,0.234,0.852,0.897,0.897,,,,
8,19,F6,5,0.732000-0.288000-0.648000-0.642000-0.148000,0.732,0.288,0.648,0.642,0.148,,,
8,19,F7,6,0.078000-0.528000-0.258000-0.188000-0.408000-0.708000,0.078,0.528,0.258,0.188,0.408,0.708,,
8,19,F8,8,0.035000-0.035000-0.035000-0.045000-0.315000-0.815000-0.465000-0.955000,0.035,0.035,0.035,0.045,0.315,0.815,0.465,0.955
9,20,F1,2,0.688000-0.718000,0.688,0.718,,,,,,
9,20,F2,2,0.736000-0.750000,0.736,0.75,,,,,,
9,20,F3,3,0.596000-0.476000-0.386000,0.596,0.476,0.386,,,,,
9,20,F4,4,0.520000-0.430000-0.500000-0.290000,0.52,0.43,0.5,0.29,,,,
9,20,F5,4,0.236000-0.853000-0.898000-0.898000,0.236,0.853,0.898,0.898,,,,
9,20,F6,5,0.734000-0.286000-0.649000-0.641000-0.147000,0.734,0.286,0.649,0.641,0.147,,,
9,20,F7,6,0.082000-0.531000-0.261000-0.191000-0.411000-0.711000,0.082,0.531,0.261,0.191,0.411,0.711,,
9,20,F8,8,0.036000-0.036000-0.036000-0.046000-0.316000-0.816000-0.466000-0.956000,0.036,0.036,0.036,0.046,0.316,0.816,0.466,0.956
10,21,F1,2,0.690000-0.720000,0.69,0.72,,,,,,
10,21,F2,2,0.737000-0.749000,0.737,0.749,,,,,,
10,21,F3,3,0.598000-0.474000-0.384000,0.598,0.474,0.384,,,,,
10,21,F4,4,0.519000-0.429000-0.499000-0.289000,0.519,0.429,0.499,0.289,,,,
10,21,F5,4,0.237000-0.854000-0.899000-0.899000,0.237,0.854,0.899,0.899,,,,
10,21,F6,5,0.731000-0.289000-0.648000-0.643000-0.149000,0.731,0.289,0.648,0.643,0.149,,,
10,21,F7,6,0.086000-0.534000-0.264000-0.194000-0.414000-0.714000,0.086,0.534,0.264,0.194,0.414,0.714,,
10,21,F8,8,0.036500-0.036500-0.036500-0.046500-0.316500-0.816500-0.466500-0.956500,0.0365,0.0365,0.0365,0.0465,0.3165,0.8165,0.4665,0.9565
11,22,F1,2,0.691000-0.721000,0.691,0.721,,,,,,
11,22,F2,2,0.738000-0.748000,0.738,0.748,,,,,,
11,22,F3,3,0.599000-0.475000-0.385000,0.599,0.475,0.385,,,,,
11,22,F4,4,0.518000-0.428000-0.498000-0.288000,0.518,0.428,0.498,0.288,,,,
11,22,F5,4,0.238000-0.855000-0.900000-0.900000,0.238,0.855,0.9,0.9,,,,
11,22,F6,5,0.732000-0.288000-0.649000-0.642000-0.148000,0.732,0.288,0.649,0.642,0.148,,,
11,22,F7,6,0.089000-0.537000-0.267000-0.197000-0.417000-0.717000,0.089,0.537,0.267,0.197,0.417,0.717,,
11,22,F8,8,0.036700-0.036700-0.036700-0.046700-0.316700-0.816700-0.466700-0.956700,0.0367,0.0367,0.0367,0.0467,0.3167,0.8167,0.4667,0.9567
12,23,F1,2,0.692000-0.722000,0.692,0.722,,,,,,
12,23,F2,2,0.739000-0.747000,0.739,0.747,,,,,,
12,23,F3,3,0.600000-0.474000-0.386000,0.6,0.474,0.386,,,,,
12,23,F4,4,0.519000-0.429000-0.499000-0.289000,0.519,0.429,0.499,0.289,,,,
12,23,F5,4,0.239000-0.856000-0.900000-0.900000,0.239,0.856,0.9,0.9,,,,
12,23,F6,5,0.730000-0.290000-0.647000-0.644000-0.150000,0.73,0.29,0.647,0.644,0.15,,,
12,23,F7,6,0.091000-0.539000-0.269000-0.199000-0.419000-0.719000,0.091,0.539,0.269,0.199,0.419,0.719,,
12,23,F8,8,0.036900-0.036900-0.036900-0.046900-0.316900-0.816900-0.466900-0.956900,0.0369,0.0369,0.0369,0.0469,0.3169,0.8169,0.4669,0.9569
13,24,F1,2,0.680000-0.720000,0.68,0.72,,,,,,
13,24,F2,2,0.738000-0.748000,0.738,0.748,,,,,,
13,24,F3,3,0.598000-0.472000-0.382000,0.598,0.472,0.382,,,,,
13,24,F4,4,0.510000-0.420000-0.490000-0.280000,0.51,0.42,0.49,0.28,,,,
13,24,F5,4,0.242000-0.860000-0.900000-0.900000,0.242,0.86,0.9,0.9,,,,
13,24,F6,5,0.732000-0.288000-0.648000-0.642000-0.148000,0.732,0.288,0.648,0.642,0.148,,,
13,24,F7,6,0.060000-0.508000-0.236000-0.174000-0.398000-0.683000,0.06,0.508,0.236,0.174,0.398,0.683,,
13,24,F8,8,0.035000-0.035000-0.035000-0.045000-0.315000-0.815000-0.465000-0.955000,0.035,0.035,0.035,0.045,0.315,0.815,0.465,0.955
